"","Country_Region","confirmed","deaths","recovered","date"
"1","Hong Kong",NA,NA,NA,2020-01-22
"2","Japan",2,NA,NA,2020-01-22
"3","Macau",1,NA,NA,2020-01-22
"4","Mainland China",NA,NA,NA,2020-01-22
"5","South Korea",1,NA,NA,2020-01-22
"6","Taiwan",1,NA,NA,2020-01-22
"7","Thailand",2,NA,NA,2020-01-22
"8","US",1,NA,NA,2020-01-22
"9","Australia",NA,NA,NA,2020-01-23
"10","Brazil",NA,NA,NA,2020-01-23
"11","Colombia",NA,NA,NA,2020-01-23
"12","Hong Kong",2,NA,NA,2020-01-23
"13","Japan",1,NA,NA,2020-01-23
"14","Macau",2,NA,NA,2020-01-23
"15","Mainland China",NA,NA,NA,2020-01-23
"16","Malaysia",NA,NA,NA,2020-01-23
"17","Mexico",NA,NA,NA,2020-01-23
"18","Philippines",NA,NA,NA,2020-01-23
"19","Singapore",1,NA,NA,2020-01-23
"20","South Korea",1,NA,NA,2020-01-23
"21","Taiwan",1,NA,NA,2020-01-23
"22","Thailand",3,NA,NA,2020-01-23
"23","US",1,NA,NA,2020-01-23
"24","Vietnam",2,NA,NA,2020-01-23
"25","France",2,NA,NA,2020-01-24
"26","Hong Kong",2,NA,NA,2020-01-24
"27","Japan",2,NA,NA,2020-01-24
"28","Macau",2,NA,NA,2020-01-24
"29","Mainland China",NA,NA,NA,2020-01-24
"30","Singapore",3,NA,NA,2020-01-24
"31","South Korea",2,NA,NA,2020-01-24
"32","Taiwan",3,NA,NA,2020-01-24
"33","Thailand",5,NA,NA,2020-01-24
"34","US",2,NA,NA,2020-01-24
"35","Vietnam",2,NA,NA,2020-01-24
"36","Australia",4,NA,NA,2020-01-25
"37","France",3,NA,NA,2020-01-25
"38","Hong Kong",5,NA,NA,2020-01-25
"39","Japan",2,NA,NA,2020-01-25
"40","Macau",2,NA,NA,2020-01-25
"41","Mainland China",1399,NA,NA,2020-01-25
"42","Malaysia",3,NA,NA,2020-01-25
"43","Nepal",1,NA,NA,2020-01-25
"44","Singapore",3,NA,NA,2020-01-25
"45","South Korea",2,NA,NA,2020-01-25
"46","Taiwan",3,NA,NA,2020-01-25
"47","Thailand",7,NA,NA,2020-01-25
"48","US",2,NA,NA,2020-01-25
"49","Vietnam",2,NA,NA,2020-01-25
"50","Australia",4,NA,NA,2020-01-26
"51","Canada",1,NA,NA,2020-01-26
"52","France",3,NA,NA,2020-01-26
"53","Hong Kong",8,NA,NA,2020-01-26
"54","Japan",4,NA,1,2020-01-26
"55","Macau",5,NA,NA,2020-01-26
"56","Mainland China",2062,NA,NA,2020-01-26
"57","Malaysia",4,NA,NA,2020-01-26
"58","Nepal",1,NA,NA,2020-01-26
"59","Singapore",4,NA,NA,2020-01-26
